a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,d1,d2,d3,d4,d5,e1,e2,e3,e4,e5,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5
3.4848418993949823,9.000000000000002,2.0,2.6333333333333333,20.333333333333332,2.9324200301522874,3.5,1.5811388300841898,1.75,8.5,4.363619651948824,12.0,2.6457513110645907,3.1384615384615384,38.0,4.236372820344401,7.5,1.5,1.2088235294117649,23.5,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.51584011975593,5.25,1.6583123951777,2.6750000000000003,8.25,3.128844989710183,7.0,2.23606797749979,2.3,15.0,4.109125988739978,5.0,1.6583123951777,2.1588235294117646,18.0,4.109125988739978,7.0,1.6583123951777,1.4588235294117649,23.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,0.0,1.0,1.0,0.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0
3.3473887123526236,3.0000000000000004,1.3416407864998738,2.22,6.2,3.1486332658315446,3.0,1.3743685418725535,1.9,7.0,3.96385587886619,3.5,1.3228756555322954,1.05,6.5,3.754563334659087,2.5,1.224744871391589,1.1500000000000001,6.5,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3974214738552204,5.25,1.920286436967152,2.9250000000000003,8.25,3.2425939610650554,7.0,2.449489742783178,2.9000000000000004,11.0,4.062207898537519,4.666666666666666,1.3333333333333335,1.0196078431372548,11.999999999999998,4.109125988739978,7.0,1.6583123951777,0.9294117647058824,17.0,1.8905359532415076,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.45205793405189,10.666666666666666,2.309401076758503,2.7333333333333334,24.666666666666668,2.933815614908366,4.5,1.3228756555322954,0.95,11.5,4.331610831181586,7.5,1.5811388300841898,1.5192307692307694,22.5,4.236372820344401,5.0,1.5,1.3,8.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0
3.5114431751504087,9.333333333333334,2.2852182001336816,3.4666666666666672,20.66666666666667,2.933815614908366,4.5,1.3228756555322954,0.85,10.5,4.410006329718444,8.5,1.6583123951777,2.0486425339366514,29.5,4.1175472595664955,7.5,1.4142135623730951,0.45,19.5,2.7773330646959034,6.0,1.7320508075688772,0.8,14.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,0.0,0.0,0.0,0.0,0.0
3.4741663458999317,7.0,1.6393596310755,2.15,16.0,3.128844989710183,6.0,2.23606797749979,2.6,12.0,4.1175472595664955,3.5,1.4142135623730951,1.55,6.5,4.224752191739869,12.5,1.7320508075688772,0.6178733031674207,46.5,0.0,0.0,0.0,0.0,0.0,2.415761655169832,2.5,1.118033988749895,0.45,4.5,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0,2.7773330646959034,5.0,1.7320508075688772,0.9,9.0
3.3185782877362495,7.333333333333333,1.5275252316519465,1.2333333333333334,19.666666666666668,2.415761655169832,3.5,1.118033988749895,0.35,9.5,4.178673529789369,3.6666666666666665,1.3743685418725535,1.5666666666666667,7.666666666666667,3.8079476356104207,2.25,1.0897247358851685,0.8250000000000001,4.25,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
3.2642032338552744,3.8,1.6733200530681511,2.3000000000000003,5.800000000000001,2.6444550253209225,1.3333333333333333,1.1055415967851334,1.0,1.3333333333333333,3.9818791571355545,6.5,1.8027756377319946,1.5088235294117647,20.5,4.1175472595664955,6.5,1.4142135623730951,0.65,15.5,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3165303933208468,3.833333333333333,1.35400640077266,1.6833333333333333,6.5,2.724523070701263,1.5,1.224744871391589,1.25,1.5,4.1175472595664955,2.5,1.4142135623730951,1.85,3.5,4.227275532273426,11.0,1.9364916731037085,0.9294117647058824,31.0,0.0,0.0,0.0,0.0,0.0,2.7773330646959034,2.0,1.7320508075688772,2.0,2.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,2.7773330646959034,8.0,1.7320508075688772,0.4,22.0
3.5730412897108206,8.999999999999998,2.1343747458109497,3.566666666666667,19.666666666666664,3.2425939610650554,11.0,2.449489742783178,1.7,23.0,4.109125988739978,5.5,1.6583123951777,1.35,11.5,4.2726342250228795,9.0,2.449489742783178,2.9000000000000004,23.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
3.438487169001095,7.800000000000001,1.6370705543744903,1.7799999999999998,18.599999999999998,2.980994648898612,6.0,2.0,1.8,14.0,4.270038928511878,5.333333333333333,1.2909944487358058,1.1794871794871793,15.333333333333332,4.317382536540068,12.5,2.0,1.0088235294117647,36.5,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,2.724523070701263,1.5,1.224744871391589,1.25,1.5,1.8905359532415076,2.0,1.0,0.2,4.0
3.660809295972504,8.333333333333334,2.1343747458109497,4.3,16.333333333333332,3.0875069956086714,5.0,1.4142135623730951,1.1,11.0,4.236372820344401,6.0,1.5,1.5294117647058825,17.0,4.410006329718444,9.0,1.6583123951777,1.5294117647058825,25.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,3.0,1.0,0.1,9.0,1.8905359532415076,0.0,1.0,1.0,0.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.441908962126428,8.5,1.9364916731037085,2.0999999999999996,17.0,1.8905359532415076,1.0,1.0,0.5,1.0,4.179191546681759,4.75,1.3693063937629153,1.8089366515837102,19.25,4.331610831181586,7.0,1.5811388300841898,1.4294117647058822,17.0,2.724523070701263,4.5,1.224744871391589,0.45,11.5,1.8905359532415076,1.0,1.0,0.5,1.0,2.980994648898612,5.0,2.0,1.7,7.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.6105766799788457,7.666666666666666,2.0816659994661326,3.766666666666666,13.666666666666668,2.980994648898612,7.0,2.0,1.3,15.0,4.396631177976097,8.0,1.8708286933869707,2.1294117647058823,20.0,4.2726342250228795,13.0,2.449489742783178,1.3,31.0,2.724523070701263,4.0,1.224744871391589,0.7,11.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.547411818811937,7.0,2.1081851067789197,3.9,14.333333333333332,3.1947119277820457,7.0,1.7320508075688772,1.6,18.0,4.109125988739978,4.5,1.6583123951777,1.7500000000000002,9.5,4.2726342250228795,12.0,2.449489742783178,2.0588235294117645,34.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.2939336554712213,3.25,1.620185174601965,2.525,4.75,3.0875069956086714,2.0,1.4142135623730951,2.0,2.0,3.754563334659087,3.5,1.224744871391589,0.65,7.5,3.96385587886619,6.0,1.3228756555322954,0.5294117647058824,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0
3.454656123181275,4.25,1.6770509831248424,2.875,6.75,3.0790857247821535,3.5,1.6583123951777,1.9500000000000002,5.5,3.96385587886619,4.0,1.3228756555322954,0.7999999999999999,7.0,4.236372820344401,8.0,1.5,0.7000000000000001,20.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.6003750687301133,9.0,2.081665999466133,3.433333333333333,18.333333333333336,3.2063325563865765,5.0,1.5,1.7,12.0,4.22475219173987,8.0,1.7320508075688772,1.3588235294117648,23.0,4.363619651948824,13.0,2.6457513110645907,2.7588235294117647,37.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.3975823118569197,5.000000000000002,1.4282856857085702,1.74,9.4,1.8905359532415076,1.0,1.0,0.5,1.0,4.317382536540068,11.0,2.0,1.8384615384615386,39.0,4.2726342250228795,11.0,2.449489742783178,2.3588235294117648,31.0,2.724523070701263,4.5,1.224744871391589,0.65,13.5,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.1861217550404186,4.666666666666667,1.5545631755148024,1.4,7.0,0.0,0.0,0.0,0.0,0.0,3.8480751455004043,6.0,1.4577379737113252,0.5647058823529412,17.0,4.224752191739869,10.5,1.7320508075688772,1.1178733031674208,39.5,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0,0.0,0.0,0.0,0.0,0.0,2.7773330646959034,2.0,1.7320508075688772,2.0,2.0
3.4278987354379398,5.5,1.620185174601965,2.2,10.0,2.933815614908366,1.5,1.3228756555322954,1.75,1.5,4.236372820344401,6.5,1.5,1.6486425339366515,23.5,4.236372820344401,6.0,1.5,1.1,12.0,2.4680514925039145,5.0,1.4142135623730951,0.30000000000000004,13.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
3.5179924421415243,5.666666666666667,2.1602468994692865,3.9666666666666672,7.0,3.128844989710183,4.0,2.23606797749979,3.0,4.0,4.363619651948824,11.0,2.6457513110645907,3.158823529411765,29.0,4.363619651948824,14.0,2.6457513110645907,2.458823529411765,40.0,2.4680514925039145,2.0,1.4142135623730951,1.2,4.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0,2.4680514925039145,3.0,1.4142135623730951,1.1,9.0
3.4864207430855174,9.5,1.695582495781317,1.65,23.5,2.980994648898612,7.0,2.0,1.7,19.0,4.331610831181586,7.0,1.5811388300841898,1.2000000000000002,14.0,4.438469470623303,18.0,2.8284271247461903,2.197285067873303,56.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0,1.8905359532415076,2.0,1.0,0.2,4.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0
3.468823755667006,7.0,2.185812841434,3.433333333333333,13.0,2.933815614908366,3.0,1.3228756555322954,1.4000000000000001,7.0,4.1175472595664955,2.0,1.4142135623730951,2.2,4.0,4.224752191739869,7.5,1.7320508075688772,1.5794117647058825,21.5,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,2.7773330646959034,4.0,1.7320508075688772,1.4,8.0
3.433193874898022,4.2,1.4422205101855958,2.18,7.000000000000001,2.933815614908366,3.0,1.3228756555322954,1.3,6.0,3.9624602941101115,2.0,1.5811388300841898,2.5294117647058822,8.0,4.318640930995935,9.0,1.8027756377319946,1.758823529411765,28.0,1.8905359532415076,2.0,1.0,0.2,4.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.3833646101324044,4.6,1.5231546211727818,1.9000000000000001,6.6000000000000005,1.8905359532415076,1.0,1.0,0.5,1.0,4.227275532273426,9.0,1.9364916731037085,1.5294117647058822,25.0,4.318640930995935,9.5,1.8027756377319946,1.3088235294117645,26.5,2.980994648898612,6.0,2.0,1.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0
3.425792632932084,8.75,1.9685019685029528,2.4750000000000005,22.25,3.0790857247821535,8.0,1.6583123951777,0.8999999999999999,22.0,4.178673529789369,6.0,1.3743685418725535,1.1589743589743589,20.666666666666664,3.9624602941101115,5.0,1.5811388300841898,1.2294117647058822,13.0,2.7773330646959034,8.0,1.7320508075688772,0.4,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.380289306084661,6.25,1.9525624189766635,2.925,14.25,3.0130642563443963,1.75,1.2747548783981961,1.675,2.25,3.9624602941101115,6.0,1.5811388300841898,0.8294117647058823,15.0,4.1175472595664955,7.0,1.4142135623730951,0.6294117647058823,19.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0
3.132718099911453,4.0,1.4708043058552858,1.3428571428571425,6.000000000000001,1.8905359532415076,1.0,1.0,0.5,1.0,3.861421974100804,1.75,1.1726039399558574,1.325,3.75,4.224752191739869,6.5,1.7320508075688772,1.7192307692307691,18.5,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0,1.8905359532415076,0.0,1.0,1.0,0.0
3.5591207430578535,8.0,1.9720265943665387,3.2666666666666666,17.333333333333332,2.980994648898612,7.0,2.0,1.7,19.0,4.363619651948824,12.0,2.6457513110645907,2.4000000000000004,26.0,4.1175472595664955,5.5,1.4142135623730951,0.95,12.5,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0,1.8905359532415076,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5591207430578535,9.666666666666666,1.9720265943665387,2.6333333333333333,20.999999999999996,2.980994648898612,7.0,2.0,1.5,17.0,4.363619651948824,8.0,2.6457513110645907,3.8000000000000003,16.0,4.4384694706233025,11.0,2.8284271247461903,3.5000000000000004,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.4099663777129625,9.0,1.8874586088176875,1.9,20.5,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0,4.117893552298153,9.5,1.8708286933869707,1.1884615384615387,33.5,4.227275532273426,10.0,1.9364916731037085,1.1588235294117648,28.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.4983523343068366,8.333333333333334,2.0,2.6333333333333333,16.333333333333336,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0,4.158885253668007,7.0,2.23606797749979,2.3000000000000003,15.0,4.396631177976097,14.5,1.8708286933869707,0.7486425339366516,47.5,0.0,0.0,0.0,0.0,0.0,2.7773330646959034,2.0,1.7320508075688772,2.0,2.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,2.724523070701263,3.5,1.224744871391589,0.85,9.5
3.4681631773759065,7.0,1.7320508075688772,2.2,14.0,2.7773330646959034,4.0,1.7320508075688772,1.6,10.0,4.363619651948824,9.0,2.6457513110645907,3.958823529411765,25.0,4.396631177976097,11.0,1.8708286933869707,1.5588235294117645,33.0,1.8905359532415076,2.0,1.0,0.2,4.0,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,2.980994648898612,7.0,2.0,1.3,15.0
3.2487765565363795,3.4000000000000004,1.4560219778561039,1.86,5.0,2.415761655169832,1.5,1.118033988749895,0.75,1.5,4.109125988739978,6.0,1.6583123951777,1.6692307692307693,20.0,3.96385587886619,5.0,1.3228756555322954,0.7294117647058823,13.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0
3.600375068730113,10.333333333333332,2.081665999466133,3.1,23.0,2.415761655169832,4.5,1.118033988749895,0.15000000000000002,13.5,4.438469470623303,10.0,2.8284271247461903,4.0,20.0,4.4384694706233025,13.0,2.8284271247461903,2.900000000000001,27.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,0.0,1.0,1.0,0.0,2.7773330646959034,2.0,1.7320508075688772,2.0,2.0,1.8905359532415076,2.0,1.0,0.2,4.0
3.4681631773759065,7.5,1.7320508075688772,2.3500000000000005,18.5,2.700235761328101,4.666666666666666,1.247219128924647,0.4,12.0,4.363619651948824,12.0,2.6457513110645907,2.2,24.0,4.158885253668007,9.0,2.23606797749979,2.1588235294117646,27.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,2.0,1.0,0.2,4.0,1.8905359532415076,0.0,1.0,1.0,0.0
3.4387438007054945,6.5,1.7677669529663689,2.3,12.0,2.7773330646959034,3.0,1.7320508075688772,1.7,5.0,4.475879819412128,11.0,1.7320508075688772,1.6986425339366515,36.0,4.1175472595664955,4.0,1.4142135623730951,1.3,7.0,2.980994648898612,8.0,2.0,1.4000000000000001,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.498898271292667,6.5,1.75,2.4000000000000004,10.5,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0,4.331610831181585,9.0,1.5811388300841898,1.3692307692307695,30.0,4.317382536540068,10.0,2.0,1.5294117647058822,26.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,0.0,1.4142135623730951,2.0,0.0,2.7773330646959034,4.0,1.7320508075688772,1.2,6.0
3.455989958744758,7.5,2.0155644370746373,2.7,14.5,2.724523070701263,2.5,1.224744871391589,0.85,3.5,4.462594609856244,12.0,1.9364916731037085,1.7986425339366516,38.0,4.236372820344401,6.0,1.5,1.1,12.0,1.8905359532415076,3.0,1.0,0.1,9.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
3.456567659150786,6.999999999999999,2.185812841434,3.2333333333333334,11.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0,4.236372820344401,6.5,1.5,1.4794117647058824,19.5,4.331610831181585,9.5,1.5811388300841898,0.9794117647058824,27.5,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7773330646959034,5.0,1.7320508075688772,1.1,11.0
3.0939157460918048,3.5,1.4086784586980805,1.3,5.25,1.8905359532415076,1.0,1.0,0.5,1.0,3.9137655914259053,6.0,1.25,0.4794117647058823,19.0,3.9137655914259053,5.75,1.25,0.35441176470588237,16.25,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.59508876119196,7.999999999999999,2.0,3.4,15.333333333333334,3.0875069956086714,4.0,1.4142135623730951,1.3,7.0,4.4384694706233025,18.0,2.8284271247461903,2.1972850678733034,56.0,4.1175472595664955,6.5,1.4142135623730951,1.0088235294117647,20.5,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0,1.8905359532415076,1.0,1.0,0.5,1.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,1.0,1.4142135623730951,1.5,1.0
3.46393009954137,5.666666666666667,2.054804667656325,3.3000000000000007,7.0,2.415761655169832,1.5,1.118033988749895,0.75,1.5,4.1175472595664955,6.5,1.4142135623730951,0.8794117647058824,18.5,4.331610831181586,9.0,1.5811388300841898,0.8294117647058823,23.0,1.8905359532415076,0.0,1.0,1.0,0.0,1.8905359532415076,3.0,1.0,0.1,9.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,3.0,1.4142135623730951,0.7,5.0
3.547411818811937,9.0,2.1081851067789197,3.3000000000000003,20.333333333333332,3.0790857247821535,5.5,1.6583123951777,1.35,11.5,4.4384694706233025,14.0,2.8284271247461903,2.6588235294117646,32.0,4.158885253668007,7.0,2.23606797749979,2.5588235294117645,19.0,1.8905359532415076,2.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905359532415076,1.0,1.0,0.5,1.0
3.5068965199131297,7.666666666666666,1.7638342073763937,2.2333333333333334,15.0,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0,4.236372820344401,6.0,1.5,1.4294117647058824,16.0,4.1175472595664955,6.0,1.4142135623730951,0.9000000000000001,15.0,0.0,0.0,0.0,0.0,0.0,2.4680514925039145,2.0,1.4142135623730951,1.2,4.0,1.8905359532415076,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
3.4583059780317447,7.6000000000000005,1.61245154965971,1.88,18.400000000000002,2.724523070701263,3.0,1.224744871391589,0.8,6.0,4.224752191739869,6.5,1.7320508075688772,1.2500000000000002,11.5,4.396631177976098,11.0,1.8708286933869707,1.7588235294117647,35.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.415761655169832,1.5,1.118033988749895,0.75,1.5,1.8905359532415076,1.0,1.0,0.5,1.0,2.7773330646959034,8.0,1.7320508075688772,0.4,22.0
3.4864207430855174,5.75,1.695582495781317,2.6249999999999996,10.75,2.724523070701263,2.0,1.224744871391589,1.0,2.0,4.2726342250228795,9.0,2.449489742783178,2.9588235294117644,25.0,4.318640930995935,10.5,1.8027756377319946,1.0794117647058823,29.5,1.8905359532415076,2.0,1.0,0.2,4.0,2.4680514925039145,2.0,1.4142135623730951,1.0,2.0,1.8905359532415076,1.0,1.0,0.5,1.0,2.4680514925039145,4.0,1.4142135623730951,0.6,10.0
